bufCapacity#producer#consumer#level
2#7#7#23
2#7#7#25
2#7#8#24
2#7#8#26
2#7#9#25
2#7#9#27
2#8#1#20
2#8#10#27
2#8#10#29
2#8#2#21
2#8#3#22
2#8#3#26
2#8#4#21
2#8#4#23
2#8#5#22
2#8#5#24
2#8#6#23
2#8#6#25
2#8#7#24
2#8#7#26
2#8#8#25
2#8#8#27
2#8#9#26
2#8#9#28
2#9#1#21
2#9#10#28
2#9#10#30
2#9#2#22
2#9#3#23
2#9#3#27
2#9#4#22
2#9#4#24
2#9#5#23
2#9#5#25
2#9#6#24
2#9#6#26
2#9#7#25
2#9#7#27
2#9#8#26
2#9#8#28
2#9#9#27
2#9#9#29
3#1#10#24
3#1#6#20
3#1#7#21
3#1#8#22
3#1#9#23
3#10#1#27
3#10#10#33
3#10#10#36
3#10#2#28
3#10#3#29
3#10#4#30
3#10#4#36
3#10#5#31
3#10#5#37
3#10#6#29
3#10#6#32
3#10#7#30
3#10#7#33
3#10#8#31
3#10#8#34
3#10#9#32
3#10#9#35
3#2#10#25
3#2#5#32
3#2#5#32
3#2#6#21
3#2#7#22
3#2#8#23
3#2#9#24
3#3#10#26
3#3#4#44
3#3#5#33
3#3#6#22
3#3#6#22
3#3#6#22
3#3#7#23
3#3#8#24
3#3#9#25
3#4#10#27
3#4#10#33
3#4#3#47
3#4#4#33
3#4#4#36
3#4#5#28
3#4#5#31
3#4#6#23
3#4#6#29
3#4#7#24
3#4#7#30
3#4#8#25
3#4#8#31
3#4#9#26
3#4#9#32
3#5#10#28
3#5#10#34
3#5#2#35
3#5#3#36
3#5#4#28
3#5#4#31
3#5#5#29
3#5#5#32
3#5#6#24
3#5#6#30
3#5#7#25
3#5#7#31
3#5#8#26
3#5#8#32
3#5#9#27
3#5#9#33
3#6#1#23
3#6#10#29
3#6#10#32
3#6#2#24
3#6#3#25
3#6#4#26
3#6#4#32
3#6#5#27
3#6#5#33
3#6#6#25
3#6#6#28
3#6#7#26
3#6#7#29
3#6#8#27
3#6#8#30
3#6#9#28
3#6#9#31
3#7#1#24
3#7#10#30
3#7#10#33
3#7#2#25
3#7#3#26
3#7#4#27
3#7#4#33
3#7#5#28
3#7#5#34
3#7#6#26
3#7#6#29
3#7#7#27
3#7#7#30
3#7#8#28
3#7#8#31
3#7#9#29
3#7#9#32
3#8#1#25
3#8#10#31
3#8#10#34
3#8#2#26
3#8#3#27
3#8#4#28
3#8#4#34
3#8#5#29
3#8#5#35
3#8#6#27
3#8#6#30
3#8#7#28
3#8#7#31
3#8#8#29
3#8#8#32
3#8#9#30
3#8#9#33
3#9#1#26
3#9#10#32
3#9#10#35
3#9#2#27
3#9#3#28
3#9#4#29
3#9#4#35
3#9#5#30
3#9#5#36
3#9#6#28
3#9#6#31
3#9#7#29
3#9#7#32
3#9#8#30
3#9#8#33
3#9#9#31
3#9#9#34
4#1#10#28
4#1#8#26
4#1#9#27
4#10#1#32
4#10#10#37
4#10#10#41
4#10#2#33
4#10#3#34
4#10#4#35
4#10#5#36
4#10#5#44
4#10#6#37
4#10#6#45
4#10#7#38
4#10#7#46
4#10#8#35
4#10#8#39
4#10#9#36
4#10#9#40
4#2#10#29
4#2#7#42
4#2#8#27
4#2#9#28
4#3#10#30
4#3#6#58
4#3#7#43
4#3#8#28
4#3#9#29
4#4#10#31
4#4#5#74
4#4#6#43
4#4#7#44
4#4#8#29
4#4#9#30
4#5#10#32
4#5#10#40
4#5#4#78
4#5#5#51
4#5#5#55
4#5#6#44
4#5#6#48
4#5#7#37
4#5#7#41
4#5#8#30
4#5#8#38
4#5#9#31
4#5#9#39
4#6#10#33
4#6#10#41
4#6#3#62
4#6#4#47
4#6#5#44
4#6#5#48
4#6#6#37
4#6#6#41
4#6#7#38
4#6#7#42
4#6#8#31
4#6#8#39
4#6#9#32
4#6#9#40
4#7#10#34
4#7#10#42
4#7#2#46
4#7#3#47
4#7#4#48
4#7#5#37
4#7#5#41
4#7#6#38
4#7#6#42
4#7#7#39
4#7#7#43
4#7#8#32
4#7#8#40
4#7#9#33
4#7#9#41
4#8#1#30
4#8#10#35
4#8#10#39
4#8#2#31
4#8#3#32
4#8#4#33
4#8#5#34
4#8#5#42
4#8#6#35
4#8#6#43
4#8#7#36
4#8#7#44
4#8#8#33
4#8#8#37
4#8#9#34
4#8#9#38
4#9#1#31
4#9#10#36
4#9#10#40
4#9#2#32
4#9#3#33
4#9#4#34
4#9#5#35
4#9#5#43
4#9#6#36
4#9#6#44
4#9#7#37
4#9#7#45
4#9#8#34
4#9#8#38
4#9#9#35
4#9#9#39
5#1#10#32
5#1#10#32
5#10#1#37
5#10#10#41
5#10#10#46
5#10#2#38
5#10#3#39
5#10#4#40
5#10#5#41
5#10#6#42
5#10#6#52
5#10#7#43
5#10#7#53
5#10#8#44
5#10#8#54
5#10#9#45
5#10#9#55
5#2#10#33
5#2#9#52
5#3#10#34
5#3#8#72
5#3#9#53
5#4#10#35
5#4#7#92
5#4#8#53
5#4#9#54
5#5#10#36
5#5#6#112
5#5#7#73
5#5#8#54
5#5#9#55
5#6#10#37
5#6#10#47
5#6#5#117
5#6#6#73
5#6#6#78
5#6#7#54
5#6#7#64
5#6#8#55
5#6#8#60
5#6#9#46
5#6#9#51
5#7#10#38
5#7#10#48
5#7#4#97
5#7#5#78
5#7#6#59
5#7#6#69
5#7#7#55
5#7#7#60
5#7#8#46
5#7#8#51
5#7#9#47
5#7#9#52
5#8#10#39
5#8#10#49
5#8#3#77
5#8#4#58
5#8#5#59
5#8#6#55
5#8#6#60
5#8#7#46
5#8#7#51
5#8#8#47
5#8#8#52
5#8#9#48
5#8#9#53
5#9#10#40
5#9#10#50
5#9#2#57
5#9#3#58
5#9#4#59
5#9#5#60
5#9#6#46
5#9#6#51
5#9#7#47
5#9#7#52
5#9#8#48
5#9#8#53
5#9#9#49
5#9#9#54
6#10#10#57
6#10#10#63
6#10#3#92
6#10#4#69
6#10#5#70
6#10#6#71
6#10#7#66
6#10#7#72
6#10#8#55
6#10#8#61
6#10#9#56
6#10#9#62
6#3#10#86
6#4#10#63
6#4#9#110
6#5#10#64
6#5#8#134
6#5#9#87
6#6#10#65
6#6#7#158
6#6#8#87
6#6#9#64
6#7#10#66
6#7#10#72
6#7#6#164
6#7#7#105
6#7#7#99
6#7#8#76
6#7#8#82
6#7#9#65
6#7#9#77
6#8#10#55
6#8#10#61
6#8#5#140
6#8#6#93
6#8#7#76
6#8#7#82
6#8#8#65
6#8#8#71
6#8#9#66
6#8#9#72
6#9#10#56
6#9#10#62
6#9#4#116
6#9#5#93
6#9#6#70
6#9#7#71
6#9#7#83
6#9#8#66
6#9#8#72
6#9#9#55
6#9#9#61
7#10#10#77
7#10#10#84
7#10#5#163
7#10#6#108
7#10#7#109
7#10#8#82
7#10#8#96
7#10#9#76
7#10#9#83
7#5#10#156
7#6#10#101
7#6#9#184
7#7#10#102
7#7#8#212
7#7#9#129
7#8#10#75
7#8#10#89
7#8#7#219
7#8#8#129
7#8#8#136
7#8#9#102
7#8#9#109
7#9#10#76
7#9#10#83
7#9#6#191
7#9#7#136
7#9#8#102
7#9#8#109
7#9#9#89
7#9#9#96
8#10#10#101
8#10#10#109
8#10#7#250
8#10#8#155
8#10#9#124
8#10#9#140
8#7#10#242
8#8#10#147
8#8#9#274
8#9#10#116
8#9#10#132
8#9#8#282
8#9#9#163
8#9#9#171
9#10#10#201
9#10#10#210
9#10#9#353
9#9#10#344
